"University 
","Focus of 
Study","Leadership 
Experience",Age,"Access to 
Funding","Depth of 
education","Further 
Credentials","Rank of 
Industry
 Experience","Depth of
 industry
 experience","Size of 
Team","Diversity 
of Team
talent",Successful?
2,5,5,3,5,2,4,3,4,1,1,1
3,5,4,5,5,3,4,4,5,1,1,1
3,2,4,3,2,3,2,2,3,3,3,1
3,5,5,5,5,4,5,5,5,3,3,1
5,5,4,5,5,5,5,5,4,1,1,0
3,5,4,4,5,5,5,4,5,3,3,1
3,5,5,5,5,5,5,5,5,2,3,1
5,2,4,5,5,5,5,5,5,1,1,1
5,5,5,3,5,3,5,1,3,2,3,1
3,5,3,3,5,4,4,4,3,2,2,0
3,3,3,5,5,3,3,3,5,2,3,1
3,5,5,3,5,5,4,5,4,3,3,1
5,5,3,3,5,4,2,1,2,2,2,1
3,5,3,4,5,3,4,4,5,1,2,1
4,3,5,4,5,3,3,5,3,2,2,1
4,5,5,5,5,4,5,4,5,3,3,0
3,5,3,4,5,4,3,2,2,2,3,1
3,4,4,3,5,5,4,3,3,2,3,1
3,5,5,4,5,4,5,5,5,4,3,1
4,5,4,5,5,4,4,4,5,2,3,1
3,4,3,4,5,4,3,3,5,3,3,0
4,5,5,4,5,4,5,5,5,2,3,1
3,5,4,5,5,3,3,4,5,1,1,0
5,5,4,5,5,3,4,4,5,2,3,1
4,5,5,3,5,3,2,5,2,2,3,1
5,5,4,3,5,3,4,5,3,1,1,1
5,5,5,4,5,5,3,3,4,2,3,0
3,3,3,3,5,3,4,3,4,1,1,1
5,5,5,5,5,5,5,4,5,3,3,0
4,5,5,5,5,5,5,5,5,3,3,1
4,3,4,4,5,3,4,5,4,2,3,0
3,5,4,4,5,4,4,3,5,1,1,0
3,5,4,3,5,3,4,3,3,3,2,0
5,5,2,3,5,4,3,1,2,2,2,0
3,5,4,3,5,3,3,5,2,2,3,1
3,3,4,5,5,3,2,5,4,1,1,0
4,5,4,5,5,4,5,3,5,1,1,1
4,5,4,5,5,5,5,5,5,3,3,0
2,3,4,3,5,2,4,2,2,3,1,1
4,5,4,4,5,3,5,4,4,3,3,1
5,3,5,4,5,5,5,5,3,2,3,1
4,2,4,4,5,3,3,5,4,1,1,1
3,4,5,5,5,3,5,5,5,2,3,1
3,2,3,3,5,3,2,3,3,2,3,0
4,5,5,5,5,5,5,4,5,1,1,1
5,5,1,5,5,5,5,5,5,1,1,1
4,5,4,5,5,4,5,4,5,3,3,1
3,3,5,5,5,4,3,4,5,2,2,0
4,3,4,3,5,3,4,3,3,1,1,1
4,5,4,4,5,5,4,5,4,2,3,0
5,5,5,3,5,5,3,5,4,3,3,1
3,3,5,5,5,3,4,4,5,2,3,0
3,5,4,5,5,3,4,4,5,1,1,0
3,5,4,3,5,4,5,5,5,1,1,1
4,5,4,3,5,3,5,5,3,3,3,1
4,5,4,3,5,4,3,4,3,3,3,1
