"University 
","Focus of 
Study","Leadership 
Experience",Age,"Access to 
Funding","Depth of 
education","Further 
Credentials","Rank of 
Industry
 Experience","Depth of
 industry
 experience (yrs)","Size of 
Team","Diversity 
of Team
talent",Estimated worth,,,,,,,,,,,,,,,,,,,,,,Success as defined for our use: Reached series B funding?
2,5,5,28,5,2,4,3,10,1,1,"7,200,000",,,,,,,,,,,,,,,,,,,,,,
3,5,4,47,5,3,4,4,15,1,1,"7,250,000,000",,,,,,,,,,,,,,,,,,,,,,
3,2,4,32,2,3,2,2,7,2,3,"1,000,000,000",,,,,,,,,,,,,,,,,,,,,,
3,5,5,30,5,4,5,5,15,3,3,"4,000,000,000",,,,,,,,,,,,,,,,,,,,,,
5,5,4,28,5,5,5,5,12,1,1,0,,,,,,,,,,,,,,,,,,,,,,
3,5,4,25,5,5,5,4,20,3,3,"1,000,000,000",,,,,,,,,,,,,,,,,,,,,,
3,5,5,44,5,5,5,5,15,2,3,"185,000,000",,,,,,,,,,,,,,,,,,,,,,
5,2,4,37,5,5,5,5,15,1,1,"600,000,000",,,,,,,,,,,,,,,,,,,,,,
5,5,5,23,5,3,5,1,10,2,3,"65,000,000,000",,,,,,,,,,,,,,,,,,,,,,
3,5,3,27,5,4,4,4,7,2,2,0,,,,,,,,,,,,,,,,,,,,,,
3,3,3,30,5,3,3,3,15,2,3,"15,000,000,000",,,,,,,,,,,,,,,,,,,,,,
3,5,5,28,5,5,4,5,13,3,3,"300,000,000",,,,,,,,,,,,,,,,,,,,,,
5,5,3,29.5,5,4,2,1,3,2,2,"8,000,000,000",,,,,,,,,,,,,,,,,,,,,,
3,5,3,34,5,3,4,4,20,1,2,"10,700,000",,,,,,,,,,,,,,,,,,,,,,
4,3,5,30,5,3,3,5,5,2,2,"3,700,000,000",,,,,,,,,,,,,,,,,,,,,,
4,5,5,39,5,4,5,4,15,3,3,0,,,,,,,,,,,,,,,,,,,,,,
3,5,3,25,5,4,3,2,3,2,3,"10,000,000",,,,,,,,,,,,,,,,,,,,,,
3,4,4,30,5,5,4,3,7,2,3,"18,000,000",,,,,,,,,,,,,,,,,,,,,,
3,5,5,34,5,4,5,5,18,4,3,"10,000,000,000",,,,,,,,,,,,,,,,,,,,,,
4,5,4,28,5,4,4,4,18,2,3,"80,000,000",,,,,,,,,,,,,,,,,,,,,,
3,4,3,44,5,4,3,3,14,3,3,"1,000,000,000",,,,,,,,,,,,,,,,,,,,,,
4,5,5,37,5,4,5,5,24,2,3,"138,000,000,000",,,,,,,,,,,,,,,,,,,,,,
3,5,4,30,5,3,3,4,22,1,1,0,,,,,,,,,,,,,,,,,,,,,,
5,5,4,34,5,3,4,4,30,2,3,"42,000,000",,,,,,,,,,,,,,,,,,,,,,
4,5,5,32,5,3,2,5,2,2,3,"171,000,000",,,,,,,,,,,,,,,,,,,,,,
5,5,4,29,5,3,4,5,7,1,1,"97,000,000",,,,,,,,,,,,,,,,,,,,,,
5,5,5,34,5,5,3,3,11,2,3,0,,,,,,,,,,,,,,,,,,,,,,
3,3,3,31,5,3,4,3,10,1,1,"400,000,000",,,,,,,,,,,,,,,,,,,,,,
5,5,5,53,5,5,5,4,19,3,3,0,,,,,,,,,,,,,,,,,,,,,,
4,5,5,24,5,5,5,5,23,3,3,"70,000,000,000",,,,,,,,,,,,,,,,,,,,,,
4,3,4,24,5,3,4,5,9,2,3,0,,,,,,,,,,,,,,,,,,,,,,
3,5,4,30,5,4,4,3,15,1,1,0,,,,,,,,,,,,,,,,,,,,,,
3,5,4,28,5,3,4,3,6,3,2,0,,,,,,,,,,,,,,,,,,,,,,
5,5,2,29,5,4,3,1,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,
3,5,4,27,5,3,3,5,2,2,3,"48,797,834",,,,,,,,,,,,,,,,,,,,,,
3,3,4,36,5,3,2,5,18,1,1,0,,,,,,,,,,,,,,,,,,,,,,
4,5,4,44,5,4,5,3,20,1,1,"1,150,000,000",,,,,,,,,,,,,,,,,,,,,,
4,5,4,35,5,5,5,5,25,3,3,0,,,,,,,,,,,,,,,,,,,,,,
2,3,4,28,5,2,4,2,3,3,1,"1,300,000,000",,,,,,,,,,,,,,,,,,,,,,
4,5,4,29,5,3,5,4,8,3,3,"40,000,000",,,,,,,,,,,,,,,,,,,,,,
5,3,5,30,5,5,5,5,4,2,3,"3,750,000,000",,,,,,,,,,,,,,,,,,,,,,
4,2,4,32,5,3,3,5,9,1,1,"2,000,000,000",,,,,,,,,,,,,,,,,,,,,,
3,4,5,41,5,3,5,5,14,2,3,"2,350,000,000",,,,,,,,,,,,,,,,,,,,,,
3,2,3,31,5,3,2,3,6,2,3,0,,,,,,,,,,,,,,,,,,,,,,
4,5,5,45,5,5,5,4,19,1,1,"200,000,000",,,,,,,,,,,,,,,,,,,,,,
5,5,1,41,5,5,5,5,22,1,1,"24,000,000,000",,,,,,,,,,,,,,,,,,,,,,
4,5,4,34,5,4,5,4,14,3,3,"1,200,000,000",,,,,,,,,,,,,,,,,,,,,,
3,3,5,37,5,4,3,4,23,2,2,0,,,,,,,,,,,,,,,,,,,,,,
4,3,4,30,5,3,4,3,6,1,1,44900000,,,,,,,,,,,,,,,,,,,,,,
4,5,4,33,5,5,4,5,8,2,3,0,,,,,,,,,,,,,,,,,,,,,,
5,5,5,27,5,5,3,5,8,4,3,"31,700,000,000",,,,,,,,,,,,,,,,,,,,,,
3,3,5,32,5,3,4,4,20,2,3,0,,,,,,,,,,,,,,,,,,,,,,
3,5,4,44,5,3,4,4,18,1,1,0,,,,,,,,,,,,,,,,,,,,,,
3,5,4,35,5,4,5,5,10,1,1,"18,000,000",,,,,,,,,,,,,,,,,,,,,,
4,5,4,27,5,3,5,5,5,3,3,"94,430,000,000",,,,,,,,,,,,,,,,,,,,,,
4,5,4,30,5,4,3,4,5,3,3,"8,100,000,000",,,,,,,,,,,,,,,,,,,,,,
